uniqSubNum,AgeYrs,CorrectAssignedAge,Sex,ParticipantID,Notes,ResearcherVoice,GFTARaw,GFTAstatus
74,4.093086927,4,M,cb10,,AV,,missing info for this one
72,5.735797399,5,F,PE08,,AV,,needs second score
100,3.44421629,3,F,SB17,,SROX,,needs second score
97,4.249144422,4,F,am16,,EG,5.5,okay
93,6.023271732,5,F,ay24,,SROX,6.557553957,okay
20,3.945242984,3,F,CB02,,AI,49.14790883,okay
22,3.192334018,3,F,CB11,,AV,37.33587786,okay
75,3.718001369,3,F,cb12,,AV,20.73641525,okay
52,5.226557153,5,F,CC01,,AV,7.571942446,okay
51,5.310277748,5,M,CC02,set to average of other 5yos (UPDATE!),AV,29.5,okay
53,5.295003422,5,M,CC03,,SR,9.5,okay
4,3.569037397,3,F,CC04,,SR,30.5,okay
38,4.654346338,4,F,CC05,,SR,40,okay
39,4.366872005,4,M,CC06,,AV,32.5,okay
11,3.438740589,3,M,DD07,,AV,28.90875912,okay
44,4.481861739,4,F,DD08,,SR,12,okay
10,3.958932238,3,F,DD09,,SR,24,okay
13,3.266255989,3,M,DD10,,AV,15.5,okay
95,4.432580424,4,F,EB21,,DW,37,okay
99,5.681040383,5,M,km24,,DW,9,okay
40,4.648870637,4,F,LM01,,AV,31.5,okay
41,4.755646817,4,M,LM03,,AV,27.5,okay
5,3.589322382,3,M,LM04,,SR,50.5,okay
47,4.470910335,4,M,LM06,,AV,41.5,okay
7,3.126625599,3,M,LT01,,SR,29.63043478,okay
9,3.471594798,3,M,LT02,,SR,7.5,okay
8,3.89596167,3,F,LT03,,AV,35.5,okay
45,4.93908282,4,M,LT04,,AV,21.38669065,okay
55,5.062286105,5,M,LT05,,AV,34.625,okay
77,5.136208077,5,F,LT11,,AV,18.74835165,okay
85,4.720054757,4,M,LT13,,SR,8.115107914,okay
57,5.303216975,5,M,LT14,,AV,37.05109489,okay
64,5.524982888,5,F,LT15,,SR,30.76777214,okay
68,5.067761807,5,F,LT21,,SR,42.0991453,okay
61,5.42642026,5,M,LT22,,AV,38.828125,okay
70,3.006160164,3,F,LT23,,MC,5.535971223,okay
15,3.301848049,3,M,LT30,,AV,24.75832477,okay
17,3.529089665,3,M,LT31,,AV,40.81280193,okay
78,4.698151951,4,F,LT33,,AV,12.26151342,okay
69,4.996577687,5,M,LT34,,AV,58.47615176,okay
98,5.169062286,5,M,mw01,,SROX,19.71484185,okay
14,3.277207392,3,F,PB01,,AV,25.38335496,okay
19,3.715263518,3,M,PB02,,AV,55.67886683,okay
21,3.627652293,3,M,PB03,,AI,33.14552239,okay
18,3.569037397,3,F,PB21,set to average of other 3yos,AV,60.50373134,okay
23,4.021902806,3,M,PB22,,AV,81.49416227,okay
87,4.087611225,4,F,pb30,,SR,9.607708119,okay
88,3.509924709,3,M,pb31,marked accented JC files,JC,12.43761409,okay
67,5.256673511,5,M,PE04,,AV,3.065217391,okay
65,5.166324435,5,M,PE05,,AV,7.071942446,okay
29,4.57273231,4,M,pe12,set to average of other 4yos (UPDATE!),AV,43.8132134,okay
49,5.141683778,5,M,pe13,,SR,2,okay
31,4.741957563,4,M,pe14,,DK,14.31289291,okay
6,3.534565366,3,F,PV01,,AV,26,okay
43,4.90349076,4,M,PV02,,SR,13.5,okay
56,5.519507187,5,F,PV03,,AV,17.69565217,okay
46,4.750171116,4,F,PV04,,SR,19,okay
48,4.922655715,4,F,PV05,,AV,25.5,okay
92,5.327857632,5,F,rri0,really rri01,EG,21.5,okay
26,4.260095825,4,F,so02,,XL,16.5,okay
30,4.492813142,4,F,so03,,XL,31.44604317,okay
35,4.424366872,4,M,so05,,AV,12.5,okay
37,4.323066393,4,M,so09,,SR,7,okay
36,4.898015058,4,F,so10,,SR,30.52775926,okay
50,5.11430527,5,F,so11,,SR,21.01277372,okay
91,5.678302533,5,F,tk02,marked accented JC files,JC,15.55,okay
94,5.284052019,5,F,wa24,,EG,21,okay
73,4.394250513,4,M,CB01,,AV,,RESCORE!!
86,3.939767283,3,F,cb13,,AV,49.373095,sound concerns
66,5.199178645,5,F,LT20,,SR,,sound concerns
63,5.875427789,5,M,LT24,,MC,,sound concerns
84,4.008213552,3,M,LT12,,SR,24.5,sound concerns; two different score lines
